timestamp,grid_size,grid_width,grid_height,max_possible_score,agent,agent_category,episode,points_scored,game_won,game_won_percentage,moves_made,total_reward,efficiency,snake_length,survival_time,termination_reason,score_percentage,board_coverage,moves_per_food,complexity_ratio,is_training_grid,successful_episode,high_performance
20251015_171004,4x4,4,4,13,A*,Simple_Agent,81,1,0,0,6,-47.733333333333334,0.16666666666666666,4,0.0,self_collision,7.6923076923076925,25.0,6.0,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,82,12,1,100,28,516.1666666666666,0.42857142857142855,15,0.0,self_collision,92.3076923076923,93.75,2.3333333333333335,0.16,False,1,1
20251015_171004,4x4,4,4,13,A*,Simple_Agent,83,1,0,0,6,-48.11666666666667,0.16666666666666666,4,0.0,self_collision,7.6923076923076925,25.0,6.0,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,84,3,0,0,15,55.60000000000002,0.2,6,0.0,self_collision,23.076923076923077,37.5,5.0,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,85,3,0,0,13,55.599999999999994,0.23076923076923078,6,0.0,self_collision,23.076923076923077,37.5,4.333333333333333,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,86,5,0,0,13,156.66666666666669,0.38461538461538464,8,0.0,self_collision,38.46153846153847,50.0,2.6,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,87,9,0,0,23,362.3166666666666,0.391304347826087,12,0.0,self_collision,69.23076923076923,75.0,2.5555555555555554,0.16,False,1,1
20251015_171004,4x4,4,4,13,A*,Simple_Agent,88,1,0,0,4,-48.36666666666667,0.25,4,0.0,self_collision,7.6923076923076925,25.0,4.0,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,89,1,0,0,4,-48.86666666666667,0.25,4,0.0,self_collision,7.6923076923076925,25.0,4.0,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,90,1,0,0,6,-47.983333333333334,0.16666666666666666,4,0.0,self_collision,7.6923076923076925,25.0,6.0,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,91,1,0,0,4,-48.61666666666667,0.25,4,0.0,self_collision,7.6923076923076925,25.0,4.0,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,92,3,0,0,16,55.78333333333333,0.1875,6,0.0,self_collision,23.076923076923077,37.5,5.333333333333333,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,93,11,1,100,32,466.41666666666663,0.34375,14,0.0,self_collision,84.61538461538461,87.5,2.909090909090909,0.16,False,1,1
20251015_171004,4x4,4,4,13,A*,Simple_Agent,94,6,0,0,22,209.7333333333333,0.2727272727272727,9,0.0,self_collision,46.15384615384615,56.25,3.6666666666666665,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,95,9,0,0,18,362.0333333333333,0.5,12,0.0,self_collision,69.23076923076923,75.0,2.0,0.16,False,1,1
20251015_171004,4x4,4,4,13,A*,Simple_Agent,96,7,0,0,17,259.7166666666667,0.4117647058823529,10,0.0,self_collision,53.84615384615385,62.5,2.4285714285714284,0.16,False,1,1
20251015_171004,4x4,4,4,13,A*,Simple_Agent,97,3,0,0,14,55.44999999999999,0.21428571428571427,6,0.0,self_collision,23.076923076923077,37.5,4.666666666666667,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,98,5,0,0,13,156.5,0.38461538461538464,8,0.0,wall_collision,38.46153846153847,50.0,2.6,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,99,6,0,0,18,209.39999999999992,0.3333333333333333,9,0.0,self_collision,46.15384615384615,56.25,3.0,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,100,1,0,0,4,-48.86666666666667,0.25,4,0.0,self_collision,7.6923076923076925,25.0,4.0,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,101,5,0,0,12,156.81666666666666,0.4166666666666667,8,0.0,self_collision,38.46153846153847,50.0,2.4,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,102,7,0,0,20,259.2,0.35,10,0.0,self_collision,53.84615384615385,62.5,2.857142857142857,0.16,False,1,1
20251015_171004,4x4,4,4,13,A*,Simple_Agent,103,9,0,0,27,363.2499999999999,0.3333333333333333,12,0.0,self_collision,69.23076923076923,75.0,3.0,0.16,False,1,1
20251015_171004,4x4,4,4,13,A*,Simple_Agent,104,9,0,0,24,362.6333333333332,0.375,12,0.0,self_collision,69.23076923076923,75.0,2.6666666666666665,0.16,False,1,1
20251015_171004,4x4,4,4,13,A*,Simple_Agent,105,1,0,0,4,-48.36666666666667,0.25,4,0.0,self_collision,7.6923076923076925,25.0,4.0,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,106,9,0,0,18,361.1166666666667,0.5,12,0.0,self_collision,69.23076923076923,75.0,2.0,0.16,False,1,1
20251015_171004,4x4,4,4,13,A*,Simple_Agent,107,7,0,0,17,258.4666666666667,0.4117647058823529,10,0.0,self_collision,53.84615384615385,62.5,2.4285714285714284,0.16,False,1,1
20251015_171004,4x4,4,4,13,A*,Simple_Agent,108,13,1,100,29,766.5166666666665,0.4482758620689655,16,0.0,win,100.0,100.0,2.230769230769231,0.16,False,1,1
20251015_171004,4x4,4,4,13,A*,Simple_Agent,109,1,0,0,3,-48.766666666666666,0.3333333333333333,4,0.0,self_collision,7.6923076923076925,25.0,3.0,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,110,5,0,0,19,158.10000000000002,0.2631578947368421,8,0.0,self_collision,38.46153846153847,50.0,3.8,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,111,3,0,0,16,55.916666666666686,0.1875,6,0.0,self_collision,23.076923076923077,37.5,5.333333333333333,0.16,False,1,0
